pref_code,hour,vehicle_type,direction,traffic_volume
31000,0,1,1,1630
31000,1,1,1,1041
31000,2,1,1,766
31000,3,1,1,704
31000,4,1,1,1063
31000,5,1,1,2339
31000,6,1,1,9530
31000,7,1,1,180832
31000,8,1,1,170938
31000,9,1,1,127444
31000,10,1,1,128397
31000,11,1,1,128107
31000,12,1,1,122917
31000,13,1,1,129008
31000,14,1,1,130905
31000,15,1,1,139434
31000,16,1,1,150888
31000,17,1,1,187156
31000,18,1,1,158468
31000,19,1,1,17555
31000,20,1,1,11086
31000,21,1,1,7141
31000,22,1,1,4381
31000,23,1,1,2480
31000,0,1,2,1292
31000,1,1,2,947
31000,2,1,2,778
31000,3,1,2,747
31000,4,1,2,1228
31000,5,1,2,2613
31000,6,1,2,9873
31000,7,1,2,181332
31000,8,1,2,173997
31000,9,1,2,133513
31000,10,1,2,132152
31000,11,1,2,129403
31000,12,1,2,120865
31000,13,1,2,125409
31000,14,1,2,127096
31000,15,1,2,135491
31000,16,1,2,146205
31000,17,1,2,186659
31000,18,1,2,150313
31000,19,1,2,14365
31000,20,1,2,8528
31000,21,1,2,5197
31000,22,1,2,3459
31000,23,1,2,1974
31000,0,2,1,537
31000,1,2,1,474
31000,2,2,1,502
31000,3,2,1,544
31000,4,2,1,682
31000,5,2,1,949
31000,6,2,1,1767
31000,7,2,1,12469
31000,8,2,1,16972
31000,9,2,1,19006
31000,10,2,1,18837
31000,11,2,1,17125
31000,12,2,1,12055
31000,13,2,1,15351
31000,14,2,1,16121
31000,15,2,1,15346
31000,16,2,1,13871
31000,17,2,1,10060
31000,18,2,1,6981
31000,19,2,1,1753
31000,20,2,1,1210
31000,21,2,1,710
31000,22,2,1,662
31000,23,2,1,653
31000,0,2,2,760
31000,1,2,2,793
31000,2,2,2,800
31000,3,2,2,830
31000,4,2,2,1098
31000,5,2,2,1501
31000,6,2,2,2118
31000,7,2,2,12239
31000,8,2,2,16296
31000,9,2,2,17663
31000,10,2,2,17102
31000,11,2,2,16330
31000,12,2,2,11756
31000,13,2,2,14836
31000,14,2,2,15659
31000,15,2,2,15177
31000,16,2,2,13932
31000,17,2,2,10234
31000,18,2,2,6846
31000,19,2,2,1496
31000,20,2,2,1182
31000,21,2,2,878
31000,22,2,2,844
31000,23,2,2,777
