ìsìπï{åßéwíËésÉRÅ[Éh,åí ó í≤ç∏íPà ãÊä‘î‘çÜ,ìπòHéÌï ,òHê¸î‘çÜ,óﬂòaÇRîNìxí≤ç∏åí ó äœë™ÅEîÒäœë™ÇÃï ,å¬ï í≤ç∏äœë™íläàópÇÃï ,ÇPÇQÅEÇQÇSéûä‘äœë™ÇÃï ,åí ó äœë™îNåéì˙,ìVåÛ,è„ÇËÅEâ∫ÇËÇÃï ,é‘éÌãÊï™,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇUéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇVéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇWéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPÇXéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇOéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇPéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇQéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇRéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇSéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇTéûë‰,éûä‘ë—ï é©ìÆé‘óﬁåí ó Åië‰Å^éûÅjÅ^ÇUéûë‰,íãä‘ÇPÇQéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj,ÇQÇSéûä‘é©ìÆé‘óﬁåí ó Åië‰Åj
2000,10,1,1040,1,0,2,20210929,3,1,1,83,100,95,111,112,107,122,131,176,151,119,70,32,32,15,17,5,5,4,5,4,13,18,63,1377,1590
2000,10,1,1040,1,0,2,20210929,3,1,2,69,89,101,98,119,111,78,71,71,76,69,67,71,33,38,57,60,28,41,35,30,33,41,71,1019,1557
2000,10,1,1040,1,0,2,20210929,3,2,1,54,61,113,113,88,99,93,108,118,142,127,116,67,40,22,15,12,16,7,8,5,3,14,21,1232,1462
2000,10,1,1040,1,0,2,20210929,3,2,2,115,87,73,45,70,68,49,42,49,44,44,51,35,55,38,39,92,76,53,72,77,106,112,130,737,1622
2000,20,1,1040,1,0,2,20210929,3,1,1,104,107,116,117,130,117,129,145,193,152,115,69,48,30,14,17,7,7,1,8,7,12,22,84,1494,1751
2000,20,1,1040,1,0,2,20210929,3,1,2,75,83,114,94,107,102,73,70,68,78,60,69,68,36,40,70,62,32,39,42,32,38,42,82,993,1576
2000,20,1,1040,1,0,2,20210929,3,2,1,67,89,105,130,97,105,101,120,132,173,172,135,78,40,35,18,14,18,5,6,2,4,7,21,1426,1674
2000,20,1,1040,1,0,2,20210929,3,2,2,125,105,66,56,73,71,50,51,48,48,39,55,34,51,47,43,89,79,52,65,89,99,107,137,787,1679
2000,30,1,1040,1,0,2,20210929,3,1,1,71,116,98,100,88,101,103,104,132,83,86,61,51,23,11,14,4,4,2,3,3,13,7,48,1143,1326
2000,30,1,1040,1,0,2,20210929,3,1,2,66,70,98,73,71,76,55,44,46,66,42,57,46,27,27,74,39,33,33,37,25,40,36,59,764,1240
2000,30,1,1040,1,0,2,20210929,3,2,1,70,75,67,93,77,70,69,75,113,119,129,87,50,27,29,9,8,13,4,6,2,2,9,30,1044,1233
2000,30,1,1040,1,0,2,20210929,3,2,2,106,83,57,50,58,60,44,50,44,39,37,34,29,39,39,35,68,57,42,51,55,85,82,96,662,1340
2000,40,1,1040,1,0,2,20210929,3,1,1,126,175,174,132,134,147,143,151,140,117,128,94,67,28,16,16,5,4,2,1,5,10,6,61,1661,1882
2000,40,1,1040,1,0,2,20210929,3,1,2,67,94,98,73,77,63,57,53,54,68,47,65,37,27,42,69,27,39,27,42,30,37,35,60,816,1288
2000,40,1,1040,1,0,2,20210929,3,2,1,136,123,112,128,109,109,86,121,148,179,180,123,72,41,40,14,9,15,8,9,3,2,16,62,1554,1845
2000,40,1,1040,1,0,2,20210929,3,2,2,119,103,64,70,59,55,50,53,53,42,36,36,29,33,38,32,65,62,48,48,53,70,81,96,740,1395
2000,50,1,1040,1,0,2,20210929,3,1,1,223,290,232,199,201,196,182,200,173,173,215,134,66,51,25,21,8,11,2,0,7,14,9,83,2418,2715
2000,50,1,1040,1,0,2,20210929,3,1,2,95,104,110,81,87,48,62,55,67,69,55,62,38,25,47,59,21,42,18,40,37,45,42,66,895,1375
2000,50,1,1040,1,0,2,20210929,3,2,1,287,235,164,146,146,166,131,175,227,269,287,209,114,61,50,18,10,12,8,8,4,5,25,95,2442,2852
2000,50,1,1040,1,0,2,20210929,3,2,2,120,119,88,78,69,60,57,58,73,56,56,44,37,34,32,33,47,62,50,45,41,64,77,90,878,1490
